Хозяева,Гости,Первые,Вторые
ЦСКА,Локомотив,4,3
Металлург Мг,Барыс,2,3
Трактор,Нефтехимик,4,3
СКА,Динамо Мн,8,3
Динамо М,Северсталь,3,6
Салават Юлаев,Сибирь,2,1
Ак Барс,Авангард,1,2
ЦСКА,Локомотив,4,1
Металлург Мг,Барыс,6,2
Трактор,Нефтехимик,2,1
СКА,Динамо Мн,3,1
Динамо М,Северсталь,3,4
Салават Юлаев,Сибирь,4,2
Ак Барс,Авангард,2,5
Локомотив,ЦСКА,2,3
Барыс,Металлург Мг,3,5
Нефтехимик,Трактор,2,3
Динамо Мн,СКА,2,3
Северсталь,Динамо М,1,3
Авангард,Ак Барс,2,0
Сибирь,Салават Юлаев,2,1
Локомотив,ЦСКА,1,4
Барыс,Металлург Мг,2,5
Нефтехимик,Трактор,2,3
Динамо Мн,СКА,3,4
Северсталь,Динамо М,2,3
Сибирь,Салават Юлаев,3,6
Авангард,Ак Барс,2,3
Металлург Мг,Барыс,3,1
Салават Юлаев,Сибирь,3,2
Динамо М,Северсталь,5,2
Ак Барс,Авангард,4,3
Северсталь,Динамо М,3,2
Авангард,Ак Барс,2,0
Динамо М,Северсталь,2,1
ЦСКА,Динамо М,3,2
Трактор,Салават Юлаев,0,1
СКА,Спартак,1,6
Металлург Мг,Авангард,1,8
ЦСКА,Динамо М,4,2
Трактор,Салават Юлаев,4,1
СКА,Спартак,2,1
Металлург Мг,Авангард,5,7
Динамо М,ЦСКА,1,2
Салават Юлаев,Трактор,3,1
Спартак,СКА,1,2
Авангард,Металлург Мг,2,5
Динамо М,ЦСКА,3,6
Салават Юлаев,Трактор,1,7
Спартак,СКА,1,2
Авангард,Металлург Мг,1,5
Трактор,Салават Юлаев,2,1
СКА,Спартак,2,1
Металлург Мг,Авангард,5,2
Салават Юлаев,Трактор,1,2
Авангард,Металлург Мг,5,1
Металлург Мг,Авангард,4,0
СКА,ЦСКА,1,3
Металлург Мг,Трактор,3,2
СКА,ЦСКА,2,1
Металлург Мг,Трактор,4,6
ЦСКА,СКА,6,2
Трактор,Металлург Мг,1,2
ЦСКА,СКА,2,3
Трактор,Металлург Мг,0,6
СКА,ЦСКА,3,2
Металлург Мг,Трактор,2,1
ЦСКА,СКА,3,1
СКА,ЦСКА,0,3
Металлург Мг,ЦСКА,1,3
Металлург Мг,ЦСКА,6,4
ЦСКА,Металлург Мг,0,4
ЦСКА,Металлург Мг,0,1
Металлург Мг,ЦСКА,2,3
ЦСКА,Металлург Мг,2,1
Металлург Мг,ЦСКА,1,4
Авангард,ЦСКА,4,0
Ак Барс,Йокерит,3,0
Локомотив,Динамо Р,3,2
Нефтехимик,Куньлунь РС,5,1
Северсталь,СКА,2,3
Торпедо НН,Витязь,3,6
Спартак,Адмирал,4,1
ХК Сочи,Амур,4,0
Барыс,Салават Юлаев,1,5
Автомобилист,Металлург Мг,2,6
Трактор,Сибирь,3,2
Динамо М,Динамо Мн,4,1
Авангард,Адмирал,4,3
Ак Барс,Куньлунь РС,3,4
Локомотив,СКА,3,4
Нефтехимик,Йокерит,4,2
Спартак,Амур,3,1
ХК Сочи,Витязь,6,5
ЦСКА,Динамо Р,3,2
Барыс,Металлург Мг,1,2
Автомобилист,Салават Юлаев,2,4
Ак Барс,Торпедо НН,1,3
Северсталь,Динамо Мн,1,4
Динамо М,Сибирь,4,0
Авангард,Амур,3,2
Куньлунь РС,Динамо Р,5,6
СКА,Адмирал,9,2
Спартак,Витязь,3,2
ХК Сочи,ЦСКА,1,4
Йокерит,Трактор,5,4
Металлург Мг,Салават Юлаев,2,7
Локомотив,Динамо Мн,3,4
Торпедо НН,Сибирь,0,3
Барыс,Амур,3,2
Ак Барс,ЦСКА,1,2
Северсталь,Адмирал,3,2
Динамо М,Авангард,5,2
СКА,Автомобилист,2,4
Динамо Р,Трактор,1,6
Салават Юлаев,Спартак,2,1
Куньлунь РС,Йокерит,5,6
Нефтехимик,Сибирь,4,2
Торпедо НН,ХК Сочи,2,1
